attraction_id,name,location,description,opening_hours,category,price
473,Homestyle Beef Stew,Michigan,"Hearty beef stew with vegetables, ready to heat and serve.",7:52 AM,Food - Canned Soups,7.99
474,Printed Maxi Skirt,Northview,A colorful printed maxi skirt for a bohemian look.,9:54 AM,Clothing - Skirts,39.99
475,Ginger Turmeric Tea,Hollow Ridge,Herbal tea blend with ginger and turmeric for a soothing drink.,6:34 PM,Food - Beverages,3.49
476,Coconut Lime Rice,Stoughton,"Flavorful rice mixed with coconut and lime, a tropical side dish.",9:23 PM,Food - Sides,2.99
477,Adjustable Laptop Stand,Sommers,Ergonomic stand for laptops to improve posture while working.,9:09 AM,Office,29.99
478,Adjustable Dog Harness,Monterey,Comfortable and adjustable harness for dogs.,4:33 PM,Pets,24.99
479,Pet Hair Vacuum Cleaner Attachment,Westridge,Specialized attachment for removing pet hair from surfaces.,5:05 AM,Pets,14.99
480,Organic Almond Flour,Schiller,Finely ground almonds for baking or cooking,11:43 PM,Food - Baking,6.99
481,Savory Oats,Packers,"Instant oats with a savory twist, such as herbs and spices.",11:20 AM,Food - Breakfast,2.49
482,Instant Camera,Lillian,Retro instant camera for capturing and printing photos instantly.,5:34 PM,Photography,89.99
483,Colorful Post-It Notes Set,Texas,Variety pack of sticky notes in different colors and sizes.,6:41 AM,Office,9.99
484,Comfort Flats,Arkansas,Everyday flats that combine comfort and style.,3:16 AM,Clothing - Shoes,44.99
485,Essential White Button-Up,Hermina,A classic white button-up shirt for a polished appearance.,4:23 PM,Clothing - Shirts,44.99
486,Travel Orthopedic Pillow,Northland,Supportive pillow that provides comfort while traveling.,3:48 AM,Travel,24.99
487,Italian Herbal Seasoning,North,A fragrant blend of Italian herbs for pasta sauces and marinades.,12:07 AM,Food - Spices,1.99
488,Outdoor Mosquito Repellent Lantern,Tony,Lantern that repels mosquitoes while providing light.,8:42 PM,Outdoor,34.99
489,Camera Lens Cleaning Kit,Dennis,Complete cleaning kit for camera lenses.,6:42 PM,Photography,14.99
490,Maple Bacon Jerky,Tony,Savory bacon jerky coated with maple flavoring.,1:32 PM,Food - Meat,6.99
491,Pet Food Storage Container,Manley,Airtight container to keep pet food fresh.,11:31 PM,Pets,24.99
492,Pecan Pie Filling,Claremont,Sweet and nutty filling for delicious homemade pecan pie.,4:38 PM,Food - Baking Goods,3.99
493,Car Phone Mount,Hallows,Adjustable phone mount for car dashboard.,3:45 PM,Automotive,15.99
494,Peach Green Tea,Mockingbird,"Refreshing green tea infused with peach, perfect for a hot day.",5:00 PM,Food - Beverages,3.49
495,Classic Caesar Dressing,Pond,Rich and creamy Caesar dressing for salads and wraps.,5:31 PM,Food - Condiments,3.49
496,Magnetic Spice Containers,Lakeland,Set of magnetic jars for convenient spice organization.,11:35 PM,Kitchen,24.99
497,Fruit and Nut Bars,Larry,Individually packaged bars made with dried fruits and nuts.,7:11 AM,Food - Snacks,1.99
498,Spicy Roasted Nuts,Sheridan,"A mix of nuts roasted with spicy seasonings, perfect for snacking.",2:17 AM,Food - Snacks,4.99
499,Smoked Paprika,Tony,Add a smoky flavor to your dishes.,1:43 AM,Food - Spices,2.99
500,Lentils,High Crossing,"High in protein, perfect for soups and stews.",4:52 PM,Food - Grains,2.99
